id,name,code,user_type_id/id,chart_template_id/id,reconcile
235000,Personelden Alacaklar,235000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
236000,Di_er Çe_itli Alacaklar,236000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
237000,Di_er Alacak Senetleri Reeskontu(-),237000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
240000,Ba_lı Menkul Kıymetler,240000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
241000,Ba_lı Menkul Kıymetler De_er Dü_üklü_ü Kar_ılı_ı(-),241000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
242000,__tirakler,242000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
243000,__tiraklere Sermaye Taahhütleri(-),243000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
244000,__tirakler Sermaye Payları De_er Dü_üklü_ü Kar_ılı_ı(-),244000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
245000,Ba_lı Ortaklıklar,245000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
246000,Ba_lı Ortaklıklara Sermaye Taahhütleri(-),246000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
247000,Ba_lı Ortaklıklar Sermaye Payları De_er Dü_üklü_ü Kar_ılı_ı(-),247000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
248000,Di_er Mali Duran Varlıklar,248000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
249000,Di_er Mali Duran Varlıklar Kar_ılı_ı(-),249000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
250000,Arazi Ve Arsalar,250000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
251000,Yer Altı Ve Yer Üstü Düzenleri,251000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
252000,Binalar,252000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
253000,"Tesis, Makine Ve Cihazlar",253000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
254000,Ta_ıtlar,254000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
255000,Demirba_lar,255000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
256000,Di_er Maddi Duran Varlıklar,256000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
257000,Birikmi_ Amortismanlar(-),257000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
258000,Yapılmakta Olan Yatırımlar,258000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
259000,Verilen Avanslar,259000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
260000,Haklar,260000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
261000,_erefiye,261000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
262000,Kurulu_ Ve Örgütlenme Giderleri,262000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
263000,Ara_tırma Ve Geli_tirme Giderleri,263000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
264000,Özel Maliyetler,264000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
267000,Di_er Maddi Olmayan Duran Varlıklar,267000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
268000,Birikmi_ Amortismanlar(-),268000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
269000,Verilen Avanslar,269000,account.data_account_type_fixed_assets,turkish_coa.turkey_chart_of_account,FALSE
271000,Arama Giderleri,271000,account.data_account_type_expenses,turkish_coa.turkey_chart_of_account,FALSE
272000,Hazırlık Ve Geli_tirme Giderleri,272000,account.data_account_type_expenses,turkish_coa.turkey_chart_of_account,FALSE
277000,Di_er Özel Tükenmeye Tabi Varlıklar,277000,account.data_account_type_expenses,turkish_coa.turkey_chart_of_account,FALSE
278000,Birikmi_ Tükenme Payları(-),278000,account.data_account_type_expenses,turkish_coa.turkey_chart_of_account,FALSE
279000,Verilen Avanslar,279000,account.data_account_type_expenses,turkish_coa.turkey_chart_of_account,FALSE
280000,Gelecek Yıllara Ait Giderler,280000,account.data_account_type_expenses,turkish_coa.turkey_chart_of_account,FALSE
281000,Gelir Tahakkukları,281000,account.data_account_type_expenses,turkish_coa.turkey_chart_of_account,FALSE
291000,Gelecek Yıllarda _ndirilecek KDV,291000,account.data_account_type_current_assets,turkish_coa.turkey_chart_of_account,FALSE
292000,Di_er KDV,292000,account.data_account_type_current_assets,turkish_coa.turkey_chart_of_account,FALSE
293000,Gelecek Yıllar _htiyacı Stoklar,293000,account.data_account_type_current_assets,turkish_coa.turkey_chart_of_account,FALSE
294000,Elden Çıkarılacak Stoklar Ve Maddi Duran Varlıklar,294000,account.data_account_type_current_assets,turkish_coa.turkey_chart_of_account,FALSE
295000,Pe_in Ödenen Vergi Ve Fonlar,295000,account.data_account_type_current_assets,turkish_coa.turkey_chart_of_account,FALSE
297000,Di_er Çe_itli Duran Varlıklar,297000,account.data_account_type_current_assets,turkish_coa.turkey_chart_of_account,FALSE
298000,Stok De_er Dü_üklü_ü Kar_ılı_ı(-),298000,account.data_account_type_current_assets,turkish_coa.turkey_chart_of_account,FALSE
299000,Birikmi_ Amortismanlar(-),299000,account.data_account_type_current_assets,turkish_coa.turkey_chart_of_account,FALSE
300000,Banka Kredileri,300000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
301000,Finansal Kiralama __lemlerinden Borçlar,301000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
302000,Ertelenmi_ Finansal Kiralama Borçlanma Maliyetleri(-),302000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
303000,Uzun Vadeli Kredilerin Anapara Taksitleri Ve Faizleri,303000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
304000,"Tahvil Anapara Borç, Taksit Ve Faizleri",304000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
305000,Çıkarılan Bonolar Ve Senetler,305000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
306000,Çıkarılmı_ Di_er Menkul Kıymetler,306000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
308000,Menkul Kıymetler _hraç Farkı(-),308000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
309000,Di_er Mali Borçlar,309000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
320000,Satıcılar,320000,account.data_account_type_payable,turkish_coa.turkey_chart_of_account,TRUE
321000,Borç Senetleri,321000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
322000,Borç Senetleri Reeskontu(-),322000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
326000,Alınan Depozito Ve Teminatlar,326000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
329000,Di_er Ticari Borçlar,329000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
331000,Ortaklara Borçlar,331000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
332000,__tiraklere Borçlar,332000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
333000,Ba_lı Ortaklıklara Borçlar,333000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
335000,Personele Borçlar,335000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
336000,Di_er Çe_itli Borçlar,336000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
337000,Di_er Borç Senetleri Reeskontu(-),337000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
340000,Alınan Sipari_ Avansları,340000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
349000,Alınan Di_er Avanslar,349000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
350000,350 Yıllara Yaygın _n_aat Ve Onarım Hakedi_leri Bedelleri,350000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
360000,Ödenecek Vergi Ve Fonlar,360000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
361000,Ödenecek Sosyal Güvenlük Kesintileri,361000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
368000,"Vadesi Geçmi_, Ertelenmi_ Veya Taksitlendirilmi_ Vergi Ve Di_er Yükümlülükler",368000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
369000,Ödenecek Di_er Yükümlülükler,369000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
370000,Dönem Kârı Vergi Ve Di_er Yasal Yükümlülük Kar_ılıkları,370000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
371000,Dönem Kârının Pe_in Ödenen Vergi Ve Di_er Yükümlülükler(-),371000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
372000,Kıdem Tazminatı Kar_ılı_ı,372000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
373000,Maliyet Giderleri Kar_ılı_ı,373000,account.data_account_type_expenses,turkish_coa.turkey_chart_of_account,FALSE
379000,Di_er Borç Ve Gider Kar_ılıkları,379000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
380000,Gelecek Aylara Ait Gelirler,380000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
381000,Gider Tahakkukları,381000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
391000,Hesaplanan KDV,391000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
392000,Di_er KDV,392000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
393000,Merkez Ve _ubeler Cari Hesabı,393000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
397000,Sayım Ve Tesellüm Fazlaları,397000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
399000,Di_er Çe_itli Yabancı Kaynaklar,399000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
400000,Banka Kredileri,400000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
401000,Finansal Kiralama __lemlerinden Borçlar,401000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
402000,Ertelenmi_ Finansal Kiralama Borçlanma Maliyetleri(-),402000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
405000,Çıkarılmı_ Tahviller,405000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
407000,Çıkarılmı_ Di_er Menkul Kıymetler,407000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
408000,Menkul Kıymetler _hraç Farkı(-),408000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
409000,Di_er Mali Borçlar,409000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
420000,Satıcılar,420000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
421000,Borç Senetleri,421000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
422000,Borç Senetleri Reeskontu(-),422000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
426000,Alınan Depozito Ve Teminatlar,426000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
429000,Di_er Ticari Borçlar,429000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
431000,Ortaklara Borçlar,431000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
432000,__tiraklere Borçlar,432000,account.data_account_type_current_liabilities,turkish_coa.turkey_chart_of_account,FALSE
